"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"286512661544460288","","","2013-01-02 16:41:56 +0000","web","RT @IamJackyBlack: Why are the best comebacks thought of 3 months later in the shower?","286512061087903744","369542435","2013-01-02 16:39:33 +0000",""
"285166998525206528","","","2012-12-29 23:34:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @comedytexts: Raisin cookies that look like chocolate chip cookies are the main reason I have trust issues","284587300892053504","321445166","2012-12-28 09:11:14 +0000",""
"283071580966367232","","","2012-12-24 04:48:18 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LifeTools: Everyone is not loyal, everyone is not your friend, everyone can't be trusted.","282328928419467265","336243683","2012-12-22 03:37:16 +0000",""
"277309199615156225","","","2012-12-08 07:10:39 +0000","web","Acoustic Get Low, #awesome http://t.co/OLU00Ejo","","","","http://youtu.be/E1p0sA8bgGA"
"275674988835639296","","","2012-12-03 18:56:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itsWillyFerrell: Sorry, I can't hangout. My uncle's cousin's sister in law's best friend's insurance agent's roommate's pet goldfish ...","275626698920316928","306025835","2012-12-03 15:45:00 +0000",""
"274209978930327552","","","2012-11-29 17:55:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Here goes another attempt at holography","","","",""
"271823196917993472","","","2012-11-23 03:51:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @johniggy23: Carving a turkey is an art form  #difficult","271784693815472129","180018775","2012-11-23 01:18:15 +0000",""
"271654214197977089","","","2012-11-22 16:39:46 +0000","web","Happy #Thanksgiving everyone, #thanks for everything!","","","",""
"271323132755845120","","","2012-11-21 18:44:10 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Bored of slides? Sign up for a free @Prezi account to stop boring #presentations! http://t.co/SCAM3uzP","","","","http://prezi.com/recommend/hnqmkfz140zn/"
"271135564122685441","","","2012-11-21 06:18:50 +0000","web","WTF, Governments want to take the internetz away? https://t.co/3xnorDbL #freeandopen","","","","https://www.google.com/takeaction/"
"267165602676887552","","","2012-11-10 07:23:38 +0000","web","@thepennelopy Your welcome! I was very excited when I found it!","","","",""
"267164989817757696","","","2012-11-10 07:21:11 +0000","web","@thepennelopy If your watching via Google Chrome you can use the extension Simple Add Block to block YouTube adds - At least it works for me","","","",""
"267163160635666433","","","2012-11-10 07:13:55 +0000","web","Changed a tire, un-seized another tire (same vehicle), all in 12 degree F blizzard conditions, and at midnight. What a night!","","","",""
"261181395752345600","","","2012-10-24 19:04:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itsBroStinson: The only reason some people get lost in thought is because it’s unfamiliar territory.","260918726214434816","456901717","2012-10-24 01:40:46 +0000",""
"261151104358809601","","","2012-10-24 17:04:09 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Does anybody wonder: ""If we are paying so much for school, why does all the technology there suck?"". Thanks Carroll!","","","",""
"246470817779691521","","","2012-09-14 04:49:56 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TwitterOSS: ""MapReduce is Good Enough? If All You Have is a Hammer, Throw Away Everything That's Not a Nail!"" by @lintool #hadoop ht ...","246460921717866497","376825877","2012-09-14 04:10:37 +0000","http://arxiv.org/abs/1209.2191,http://arxiv.org/abs/1209.2191"
"244435809502130176","","","2012-09-08 14:03:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Built a web-server today complete with dynamic FTP access, started designing the website it will be hosting too, in 15 min. No big deal #nbd","","","",""
"226328722851119106","","","2012-07-20 14:52:27 +0000","web","RT @JackyBIack: It's embarrassing that 90% of my Google history is just words I wasn't sure how to spell, and yes I googled embarrassing.","226128755318484992","369542435","2012-07-20 01:37:51 +0000",""
"216382090088943616","","","2012-06-23 04:08:05 +0000","web","Working on generating my own web statistics. Watch out Google, here I come! (not so much)","","","",""
"216000962823856129","","","2012-06-22 02:53:37 +0000","web","Just got destoryed by the GRE today, NBD","","","",""
"210081308196610048","","","2012-06-05 18:51:01 +0000","web","Why did I pick a job where there are 170 stairs between me and a delicious lunch?","","","",""
"209320047477399553","","","2012-06-03 16:26:02 +0000","web","RT @WilIyWonkaa: Things to do: 1) Dig a hole 2) Name it love 3) Watch people fall in love.","209071455491719169","502531529","2012-06-02 23:58:14 +0000",""
"208302775354933249","","","2012-05-31 21:03:46 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moodle 2.0 transfer from 1.9 seems pretty easy now. Thx #mtmoot","","","",""
"207907462429413379","","","2012-05-30 18:52:56 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","1960: if the college you goto is anything but the http://t.co/iQHjmy5x","","","","http://www.brotips.com/1960"
"199575241255694336","","","2012-05-07 19:03:40 +0000","web","Research for a day, so exciting","","","",""
"198885010688847873","","","2012-05-05 21:20:56 +0000","web","hey, I'm in the news! - http://t.co/Wnx70H9h","","","","http://bit.ly/JchtxE"
"198167696909676544","","","2012-05-03 21:50:35 +0000","web","RT @DrFunnyQuotes: Teacher: ""Get out a sheet of paper"" Student: ""LOOK AT ME NOW!"" Teacher: ""Excuse me?"" 
Student: ""IM GETTING PAPER!!!","198166822216941568","200005060","2012-05-03 21:47:06 +0000",""
"198148576797405184","","","2012-05-03 20:34:36 +0000","web","all done with another year of college","","","",""
"197830067714404353","","","2012-05-02 23:28:58 +0000","web","RT @ImLeslieChow: Student: ""Should I get in trouble for something I didn't do?"" Teacher: ""No"" Student: ""Good, cause I didn't do my homew ...","197823166704398336","452638864","2012-05-02 23:01:32 +0000",""
"197707668381630464","","","2012-05-02 15:22:36 +0000","web","Here goes robo presentation - hope it goes well","","","",""
"197176504118026240","","","2012-05-01 04:11:56 +0000","web","robot is not so smart - dang","","","",""
"196374999496523776","","","2012-04-28 23:07:03 +0000","web","Almost done, but I'm working on an algorithm that allows a computer to teach itself ... nbd","","","",""
"195715240019767297","","","2012-04-27 03:25:24 +0000","web","RT @ImLeslieChow: When I get in an elevator, before I press a button, I look at everyone inside &amp; say ""Are you ready to take this sh ...","195710337268453376","452638864","2012-04-27 03:05:55 +0000",""
"194924740316639235","","","2012-04-24 23:04:14 +0000","web","RT @itsWillyFerrell: If you having Twitter drama I feel bad for you son, I got 99 problems but a tweet aint one!","194923202789654528","306025835","2012-04-24 22:58:07 +0000",""
"194874955245162496","","","2012-04-24 19:46:24 +0000","web","RT @TheHangoverBaby: I should just change my voicemail greeting to: Please hang up and text me, thanks.""","194874352255246336","379961664","2012-04-24 19:44:00 +0000",""
"194491067331133440","194486357664604160","7923542","2012-04-23 18:20:58 +0000","web","@MarkRiffey I was hinting toward the geo-location information. but that works","","","",""
"194485385601101825","","","2012-04-23 17:58:23 +0000","web","People should start adding their location to tweets more often!","","","",""
"193532259956039680","193518877194452993","16610609","2012-04-21 02:51:01 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@outsidehilary I thought it was ninja hunter bear","","","",""
"193506305896497152","193504335290839040","158215101","2012-04-21 01:07:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@duckydork101 yuuuup....its a fun one","","","",""
